Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,74.900002,74.900002,71.349998,72.400002,72.075134,32545179
2020-06-30,72.349998,73.099998,71.000000,72.300003,71.975578,29099536
2020-07-02,73.500000,74.699997,73.199997,74.699997,74.364807,34301387
2020-07-03,75.000000,75.500000,74.400002,74.949997,74.613686,22689124
2020-07-06,76.000000,77.900002,75.199997,77.400002,77.052696,40900157
2020-07-07,80.800003,80.800003,76.599998,76.599998,76.256279,46251372
2020-07-08,76.699997,78.199997,75.550003,76.800003,76.455391,35654207
2020-07-09,78.750000,78.750000,75.300003,76.500000,76.156731,24783215
2020-07-10,75.949997,76.500000,74.050003,75.099998,74.763016,25361925
2020-07-13,76.500000,76.500000,74.650002,75.000000,74.663460,21763725
2020-07-14,75.000000,75.000000,73.099998,73.750000,73.419075,21133568
2020-07-15,74.900002,75.400002,72.900002,73.250000,72.921318,31230549
2020-07-16,73.849998,74.199997,72.150002,72.599998,72.274231,21178435
2020-07-17,73.800003,73.800003,71.849998,72.150002,71.826256,20853649
2020-07-20,72.150002,72.449997,71.099998,71.949997,71.627144,22666829
2020-07-21,72.750000,73.599998,72.599998,73.250000,72.921318,23808269
2020-07-22,72.900002,73.800003,71.900002,71.949997,71.627144,16787356
2020-07-23,72.949997,73.400002,72.050003,72.849998,72.523109,14464160
2020-07-24,72.800003,72.800003,71.250000,71.900002,71.577377,19858253
2020-07-27,73.150002,73.750000,72.150002,72.400002,72.075134,22658333
2020-07-28,73.650002,73.650002,72.199997,72.800003,72.473335,16900703
2020-07-29,72.099998,72.750000,71.699997,72.599998,72.274231,14035081
2020-07-30,72.400002,72.550003,70.449997,70.849998,70.532082,31412332
2020-07-31,70.000000,71.099998,69.500000,70.050003,69.735680,30144113
2020-08-03,70.349998,70.400002,68.849998,69.349998,69.038811,22193372
2020-08-04,70.400002,72.300003,70.000000,72.199997,71.876022,34614669
2020-08-05,72.849998,73.000000,71.449997,71.949997,71.627144,17109449
2020-08-06,73.099998,73.099998,70.199997,71.599998,71.278717,17372722
2020-08-07,72.000000,72.050003,70.050003,71.150002,70.830742,14785287
2020-08-10,70.550003,71.400002,70.400002,70.849998,70.532082,10205045
2020-08-11,71.800003,73.300003,71.750000,72.650002,72.324013,22200398
2020-08-12,73.199997,75.000000,72.099998,74.849998,74.514137,29975735
2020-08-13,77.000000,77.000000,73.900002,74.349998,74.016380,19478173
2020-08-14,74.400002,75.849998,74.099998,75.099998,74.763016,18389704
2020-08-17,74.800003,76.400002,74.550003,75.250000,74.912338,18227634
2020-08-18,76.250000,76.250000,74.500000,74.900002,74.563911,16176063
2020-08-19,75.400002,76.099998,74.250000,74.599998,74.265259,10619552
2020-08-20,75.000000,75.000000,71.099998,72.150002,71.826256,33501646
2020-08-21,73.650002,75.250000,72.500000,75.050003,74.713242,37001565
2020-08-24,75.949997,78.800003,75.849998,78.550003,78.197540,39753656
2020-08-25,78.550003,79.199997,77.500000,77.900002,77.550453,18025959
2020-08-26,78.000000,78.099998,77.050003,77.800003,77.450905,21198152
2020-08-27,77.300003,78.199997,76.650002,77.500000,77.152245,17793564
2020-08-28,78.500000,81.500000,78.000000,80.650002,80.288109,44428004
2020-08-31,82.400002,82.400002,79.550003,79.800003,79.441925,36008188
2020-09-01,81.000000,81.000000,79.400002,80.400002,80.039230,15703719
2020-09-02,82.000000,82.000000,78.949997,80.000000,79.641029,21722863
2020-09-03,80.500000,80.500000,78.750000,80.449997,80.089005,24146007
2020-09-04,79.250000,79.250000,77.699997,78.000000,77.650002,50759186
2020-09-07,78.500000,82.500000,78.199997,82.300003,82.300003,59815850
2020-09-08,82.300003,82.300003,80.349998,81.199997,81.199997,23846654
2020-09-09,81.199997,81.300003,79.500000,81.050003,81.050003,18981133
2020-09-10,81.250000,81.500000,79.650002,79.849998,79.849998,16993340
2020-09-11,80.500000,80.949997,79.949997,80.349998,80.349998,21899128
2020-09-14,81.400002,81.500000,80.199997,80.500000,80.500000,11609163
2020-09-15,81.500000,82.400002,81.150002,81.800003,81.800003,16977086
2020-09-16,81.800003,81.900002,80.199997,81.000000,81.000000,14138312
2020-09-17,80.099998,80.750000,78.750000,79.050003,79.050003,15335762
2020-09-18,80.000000,80.800003,79.099998,80.000000,80.000000,19496894
2020-09-21,80.300003,80.449997,78.050003,78.300003,78.300003,16890614
2020-09-22,77.599998,78.550003,77.150002,77.449997,77.449997,15209840
2020-09-23,77.800003,78.000000,77.000000,77.949997,77.949997,11309695
2020-09-24,77.250000,78.099998,76.500000,76.650002,76.650002,20677299
2020-09-25,77.000000,77.699997,76.699997,77.650002,77.650002,17350517
2020-09-28,77.300003,78.099998,76.500000,77.000000,77.000000,19456490
2020-09-29,76.599998,77.300003,75.750000,76.150002,76.150002,27750804
2020-09-30,76.699997,77.599998,75.900002,75.900002,75.900002,22601608
2020-10-05,81.000000,81.000000,78.199997,78.699997,78.699997,28389038
2020-10-06,78.949997,79.000000,78.000000,78.849998,78.849998,10945360
2020-10-07,79.500000,79.949997,78.300003,79.949997,79.949997,16041515
2020-10-08,80.300003,80.300003,79.099998,80.000000,80.000000,9932042
2020-10-09,80.949997,80.949997,78.949997,79.650002,79.650002,11714715
2020-10-12,80.949997,80.949997,79.949997,80.349998,80.349998,18059945
2020-10-14,82.000000,82.000000,79.500000,81.349998,81.349998,28491596
2020-10-15,81.050003,81.449997,77.750000,78.349998,78.349998,20593180
2020-10-16,77.849998,78.650002,77.800003,77.800003,77.800003,14428244
2020-10-19,78.000000,78.550003,77.099998,77.599998,77.599998,19658737
2020-10-20,78.800003,78.800003,77.300003,77.949997,77.949997,19956000
2020-10-21,78.050003,78.349998,77.500000,77.699997,77.699997,16898785
2020-10-22,78.300003,78.300003,77.500000,78.250000,78.250000,22006432
2020-10-23,78.250000,78.400002,77.800003,78.150002,78.150002,14318132
2020-10-27,78.250000,78.250000,75.800003,76.400002,76.400002,28751340
2020-10-28,76.000000,77.099998,75.800003,76.599998,76.599998,23706909
2020-10-29,74.800003,75.699997,74.449997,75.599998,75.599998,14713317
2020-10-30,75.949997,75.949997,73.050003,73.050003,73.050003,25621447
2020-11-02,74.300003,74.400002,73.099998,73.349998,73.349998,20242735
2020-11-03,75.250000,78.500000,75.099998,77.949997,77.949997,35070293
2020-11-04,78.900002,79.300003,77.699997,78.500000,78.500000,17664404
2020-11-05,80.599998,80.949997,79.099998,80.300003,80.300003,21542612
2020-11-06,82.000000,82.000000,80.150002,80.500000,80.500000,24642063
2020-11-09,82.900002,83.150002,81.000000,82.300003,82.300003,25318353
2020-11-10,87.000000,87.650002,85.800003,87.000000,87.000000,63950384
2020-11-11,90.000000,90.000000,86.349998,87.000000,87.000000,47286247
2020-11-12,86.000000,86.949997,83.349998,83.699997,83.699997,50916562
2020-11-13,83.199997,85.250000,83.099998,84.750000,84.750000,24987408
2020-11-16,86.349998,87.650002,86.099998,87.449997,87.449997,28981767
2020-11-17,88.949997,89.300003,88.199997,89.199997,89.199997,31823639
2020-11-18,89.500000,90.900002,88.800003,89.849998,89.849998,41943676
2020-11-19,89.900002,89.949997,88.050003,88.199997,88.199997,30030846
2020-11-20,89.300003,90.250000,88.599998,89.500000,89.500000,20200640
2020-11-23,89.500000,89.500000,86.099998,87.000000,87.000000,28977583
2020-11-24,87.650002,88.199997,86.500000,88.199997,88.199997,22719348
2020-11-25,89.750000,90.150002,88.199997,88.849998,88.849998,28376701
2020-11-26,89.000000,89.849998,88.400002,89.849998,89.849998,10854584
2020-11-27,89.949997,90.500000,88.150002,88.500000,88.500000,16433477
2020-11-30,88.500000,89.150002,84.949997,84.949997,84.949997,35518927
2020-12-01,86.750000,88.349998,86.349998,88.199997,88.199997,26930347
2020-12-02,88.349998,88.599998,87.000000,88.300003,88.300003,20086955
2020-12-03,88.750000,89.000000,87.550003,88.900002,88.900002,17287337
2020-12-04,88.699997,89.050003,87.550003,89.000000,89.000000,21877325
2020-12-07,90.000000,90.000000,86.500000,87.949997,87.949997,14362943
2020-12-08,87.250000,87.550003,86.400002,87.050003,87.050003,17975188
2020-12-09,89.650002,89.650002,88.050003,89.000000,89.000000,22563712
2020-12-10,89.800003,89.800003,88.550003,89.550003,89.550003,16749902
2020-12-11,90.000000,90.500000,88.849998,89.250000,89.250000,17411823
2020-12-14,89.849998,90.500000,89.250000,90.000000,90.000000,17641109
2020-12-15,91.500000,91.699997,89.550003,89.650002,89.650002,28424202
2020-12-16,90.199997,91.000000,89.699997,91.000000,91.000000,15970203
2020-12-17,91.500000,91.500000,89.250000,90.949997,90.949997,16685624
2020-12-18,91.500000,91.500000,88.849998,89.500000,89.500000,19399116
2020-12-21,90.150002,90.699997,88.900002,89.849998,89.849998,11789422
2020-12-22,89.849998,90.000000,87.900002,88.150002,88.150002,13616539
2020-12-23,88.250000,90.250000,87.900002,90.250000,90.250000,13470356
2020-12-24,91.150002,91.150002,91.150002,91.150002,91.150002,0
2020-12-28,91.349998,95.500000,91.199997,95.000000,95.000000,19472133
2020-12-29,95.349998,95.949997,93.800003,94.199997,94.199997,15460583
2020-12-30,94.050003,96.400002,92.750000,96.300003,96.300003,14337748
2020-12-31,95.449997,95.449997,95.449997,95.449997,95.449997,0
2021-01-04,94.849998,98.750000,94.800003,98.550003,98.550003,14388311
2021-01-05,98.550003,98.750000,96.199997,98.750000,98.750000,21310166
2021-01-06,97.099998,97.500000,95.099998,95.150002,95.150002,29405714
2021-01-07,96.949997,98.800003,96.500000,97.150002,97.150002,29905719
2021-01-08,98.500000,99.050003,97.500000,99.000000,99.000000,24506611
2021-01-11,99.000000,99.599998,98.000000,98.849998,98.849998,21138082
2021-01-12,98.849998,103.000000,98.050003,103.000000,103.000000,26659016
